"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1923 <= Year >= 2024"",""Oceanic Tsunami = true"",""Probable Tsunami <= Validity >= Definite Tsunami""]"																																													
	1951	12	22				3	6		2208		0	"SOLOMON ISLANDS"	"KAVACHI"	-9.02	157.95		0		2.6																									
	1952	1	9	8			4	8				0	"NORWAY"	"MID-NORWAY"	64.883	12.417	2	0			2																								
	1952	3	4	1	22	41	4	1	8.1			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.15	143.85	6.54	219		2.7	2	33	1				3		3		3			33	1			572	3		3	2422	4		
	1952	3	9	17	4	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	41.7	143.6	0.3	4		-1.7	-2																	17	1		2	113	3		
	1952	3	17	3	58	0	4	1	4.5			0	"USA"	"HAWAII"	19.1	-155	3	2			0																								
	1952	3	19	10	57	12	4	1	7.8			0	"PHILIPPINES"	"E. OF MINDANO, PHILIPPINES"	9.5	127.25	0.33	5																							1				
	1952	5	13	19	31	42.9	3	1	6.4			0	"COSTA RICA"	"COSTA RICA-PANAMA"	10.088	-85.211	0.07	2		-3.3	-3																								
	1952	9	16	2	50		4	6		4850		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	31.888	139.918	0.28	1		-1	-1																								
	1952	9	17				3	6		7574		0	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	31.888	139.918		1																											
	1952	9	24	3	23	0	4	6		4852		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	31.888	139.918	0.46	1		-1														31	1						1				
	1952	9	26	3	33	0	4	6		4853		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	31.888	139.918	0.36	2		-1	-1																								
	1952	11	4	16	58	27.9	4	1	9			6	"RUSSIA"	"KAMCHATKA"	52.755	160.057	23	331		4.2	4	10000	4					1	2					10000	4					1	2				
	1952	12	15	17	0		4	8				0	"GREENLAND"	"SOUTH COAST OF NUUSSUAQ, GREENLAND"	70.35	-53.24	2.5	2				1	1			3	1		1					1	1			3	1		1				
	1953	3	11				4	6		4518		2	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	31.888	139.918	6	2		-1	-1																								
	1953	3	17	13	4		3	1	5.8			0	"RUSSIA"	"N. KURIL ISLANDS"	50	156.5	3	1		0.6																									
	1953	3	25				4	6		6044		1	"JAPAN"	"MYOJINSHO SUBMARINE VOLCANO"	31.888	139.918	0.05	1		-1	-1																								
	1953	6	27				3	6		2071		1	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-2.4	147.4		1		0.5	1								1												1				
	1953	8	11	3	32		3	1	6.8			0	"GREECE"	"IONIAN SEA"	38.1	20.6	1	1																											
	1953	8	12	9	23	52	3	1	7.2			0	"GREECE"	"IONIAN SEA"	38.3	20.8		2																476	3			2412	4	100	4	30439	4	2394	4
	1953	9	10	4	6	4.1	3	1	6.3			0	"CYPRUS"	"LEVANTIAN SEA"	34.741	32.335		2			2													40	1			100	2		2	500	3		
	1953	9	14	0	26	36	4	3	6.4			2	"FIJI"	"FIJI ISLANDS"	-18.3	178.2	15	33		1	1	5	1					0.05	1		1		1	8	1			61	1		1		2		1
	1953	11	25	17	48		4	1	7.4			0	"JAPAN"	"KASHIMA, JAPAN"	34	141.7	3	33		1.5	1.5								1					1	1						1				
	1953	12	12	17	31	25	4	1	7.4			0	"PERU"	"N. PERU"	-3.4	-80.6	1	2		-1	0.5													6	1			20	1		2	200	3		
	1954	1	21	14	0		3	9				0	"ARGENTINA"	"MAR DEL PLATA"	-38	-57	1	1									3												3						
	1954	2					4	6		4844		0	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213		5			4								1												1				
	1954	9	9	1	4	43.4	4	3	6.7			0	"ALGERIA"	"SEA OF ALBORAN"	36.274	1.594	0.33	4																1243	4			5000	4	6	3	20000	4		
	1954	11	18	20	44	55	4	1	6.1			0	"JAPAN"	"MIYAGI, JAPAN"	38.9	142.2		3			-1																								
	1955	4	19	16	47	19	3	1	6.2			0	"GREECE"	"VOLOS GULF"	39.4	23.1		1																8	1			149	3		4	459	3	8352	4
	1955	4	19	20	24	5	4	1	7.1			0	"CHILE"	"CENTRAL CHILE"	-30	-72	1	7			1	1	1						1		1			1	1						1		1		
	1955	9	8	3	27	14	3	1	6.5			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6.9	155.7		1																											
	1955	10	10	8	57	52.9	3	1	7.3			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-5.1	152.924		1																											
	1956	3	5	23	29		4	1	6.3			0	"JAPAN"	"NE. HOKKAIDO ISLAND"	44.3	144.1	0.4	1		-1.3	-2																								
	1956	7	9	3	11	45.2	4	1	7.7			3	"GREECE"	"CYCLADES"	36.664	25.957	30	100		5	5	3	1						2					56	2						3				
	1956	7	9	3	24		3	1	6.8			0	"GREECE"	"AMORGOS ISLAND, AEGEAN ISLANDS"	36.8	25.5	10	1																											
	1957	3	9	14	22	31.9	4	1	8.6			6	"USA"	"ANDREANOF ISLANDS, AK"	51.499	-175.626	32	332		3.9	3	2	1			1	1		3		1			2	1			1	1		3		1		
	1957	6	22	23	50	23	3	1	7.3			0	"INDONESIA"	"NW. IRIAN JAYA"	-1.5	137	1.8	2		0.8																									
	1957	7	28	8	40	1	4	1	7.9			0	"MEXICO"	"S. MEXICO"	16.5	-99.1	1.3	3		1.3	0.5													65	2				3	25	4		3		
	1957	9	26				3	1	5.5			0	"INDONESIA"	"SOUTH OF JAVA"	-8.2	107.3	0.7	0		-0.5																									
	1958	1	19	14	7	27	4	1	7.6			0	"ECUADOR"	"COLOMBIA-ECUADOR"	1.5	-79.5		3			2	4	1						1		1			115	3			46	1		2		2		
	1958	4	5	17	31		4	10				0	"CANADA"	"RIPPLE ROCK, BC"	50.08	-125.3	0.46	0																											
	1958	7	10	6	15	59.9	4	3	7.8			2	"USA"	"SE. ALASKA, AK"	58.37	-136.665	524.6	17		4.6	5	5	1					0.1	1		1			5	1					0.1	1		1		
	1958	11	6	22	58	8.6	4	1	8.3			0	"RUSSIA"	"S. KURIL ISLANDS"	44.53	148.54	5	60		2	2.5						2		2										2		2				
	1959	1	22	5	10	0	4	1	6.8			0	"JAPAN"	"SANRIKU"	37.5	142.2	0.8	9		-0.3	-2																								
	1959	5	4	7	15	42	4	1	8.2			0	"RUSSIA"	"KAMCHATKA"	52.5	159.5	0.2	7		1	1																								
	1959	5	7				4	8				0	"NORWAY"	"NORTHERN NORWAY"	69.817	20.917	4	1			4													9	1						1				
	1959	8	17	21	4	40	4	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-7.5	156	1	5		1.3									2				1								3				1
	1959	10	26	7	35	0	4	1	6.7			0	"JAPAN"	"SANRIKU"	37.5	143.2	0.11	8		-3.3	-4																								
	1960	3	20	17	7	30	4	1	7.5			0	"JAPAN"	"SANRIKU"	39.8	143.4	1	19		0	-2																				1				
	1960	3	23	0	23		4	1	6.7			0	"JAPAN"	"SANRIKU"	39.4	143.7	0.75	12		-1	-2.5																								
	1960	5	21	10	2	50	4	1	8.2			0	"CHILE"	"CENTRAL CHILE"	-37.872	-73.243	0.5	7			-1														1				3		1				
	1960	5	22	19	11	17	4	1	9.5	4153		28	"CHILE"	"SOUTHERN CHILE"	-38.143	-73.407	25	1277		4.6	4	2226	4			3000	4	1000	4	58622	4			2226	4			3000	4	1000	4	58622	4		
	1960	6	11	15	14	9	3	1	6.6			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-9.4	152.3		1		-0.5	0																								
	1960	7	29	17	31	45	4	1	6.7			0	"JAPAN"	"SANRIKU"	40.3	142.5	0.3	5		-1	-3																								
	1960	11	20	22	1	56.4	3	1	6.8			0	"PERU"	"N. PERU"	-6.8	-80.7	9	19		3.2	4	66	2			2	1	0.55	1					66	2			2	1	0.55	1				
	1961	1	16	7	20	0	4	1	6.8			0	"JAPAN"	"KASHIMA, JAPAN"	36	142.3	0.4	5		-1.3	-2																								
	1961	1	16	11	19	0	4	1	6.4			0	"JAPAN"	"KASHIMA, JAPAN"	36	141.9	0.4	2		-1.3	-2																								
	1961	1	16	12	12	0	4	1	6.5			0	"JAPAN"	"KASHIMA, JAPAN"	36.2	141.9	0.4	4		-1.3	-2																								
	1961	2	12	21	53	0	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	147.9	1	5			-0.5																								
	1961	2	26	18	10	48.7	4	1	7.6			0	"JAPAN"	"SEIKAIDO"	31.6	131.8	0.65	34			-0.5													2	1			7	1		2	170	3		
	1961	7	18	14	4	0	4	1	6.6			0	"JAPAN"	"RYUKYU ISLANDS"	29.6	131.8	0.2	6		-2.3	-3																								
	1961	7	23	21	51	10.5	3	1	7.3			0	"VANUATU"	"VANUATU ISLANDS"	-18.421	168.411	0.9	2			-0.5								1												1				
	1961	8	11	15	51	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.9	145.6	0.1	9		-3.3	-4																								
	1961	11	15	7	17	0	4	1	6.9			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.7	145.7	0.1	9		-3.3	-3.5																								
	1962	1	11	5	5		3	1	6.1			0	"CROATIA"	"DALMATIAN COASTS"	43.3	17.1	0.04	1																1	1						2	2290	4		
	1962	3	12	11	40	16.7	3	1	6.8			0	"PANAMA"	"COSTA RICA-PANAMA"	8.008	-82.757	0.1	2		-3.3																					1				
	1962	4	12	0	52	43	4	1	7.2			0	"JAPAN"	"SANRIKU"	38.073	142.741	1	12			-2																								
	1962	4	23	5	58	0	4	1	7			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	42.2	143.9	0.1	10		-3.3	-3.5																								
	1962	5	11	14	11	54.1	4	1	7			0	"MEXICO"	"S. MEXICO"	17.2	-99.6	0.81	1		-0.3	0													4	1				3		2		2		
	1962	5	19	14	58	15	3	1	7.2			0	"MEXICO"	"S. MEXICO"	17.2	-99.5	0.34	1																3	1			16	1		2		2		
	1963	2	7	19	28		4	8				0	"GREECE"	"CORINTH GULF"	38.31	22.02	6	9			5	2	1			12	1		1		1			2	1			12	1		1		1		
	1963	2	13	8	50	4.5	4	1	7.3			0	"TAIWAN"	"E. TAIWAN-RYUKYU ISLANDS"	24.4	122.1	0.2	2		-2.3	-2													15	1			18	1		2		2		
	1963	3	28	10			3	0				0	"CANADA"	"GRAHAM ISLAND, BRITISH COLUMBIA"	54	-132.25	5.5	7				1	1						2					1	1						2				
	1963	9	18	16	58	14.8	4	1	6.2			0	"TURKEY"	"MARMARA SEA"	40.698	29.159	1	1			3													1	1						2	7	1	163	3
	1963	10	12	11	27	0.2	4	1	7.1			0	"RUSSIA"	"S. KURIL ISLANDS"	44.426	149.272	0.12	3		-3.3	-2																								
	1963	10	13	5	17	53.4	4	1	8.5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	149.798	4.5	91		2.3	2.5																								
	1963	10	20	0	53	10.9	4	1	7.9			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	150.563	15	22		3.9	3																								
	1964	3	28	3	36	16	4	3	9.2			20	"USA"	"PRINCE WILLIAM SOUND, AK"	60.908	-147.339	51.8	428		6.1	3.5	124	3					116	4		3			139	3					400	4		3		
	1964	4	2	1	11	51	3	3	7			0	"INDONESIA"	"OFF NORTHWEST COAST OF INDONESIA"	5.8	95.4		1		-0.5	0																				3		3		
	1964	5	7	7	58	0	4	1	6.9			0	"JAPAN"	"NW. HONSHU ISLAND"	40.3	139	0.6	35		-0.1	0																				2				
	1964	5	7	20	13		3	1	6.6			0	"JAPAN"	"NW. HONSHU ISLAND"	40.4	139		2			-3																								
	1964	5	19	0	0	0	3	8				0	"USA"	"LONG ISLAND, NY"	40.8	-73.1	0.28	11																											
	1964	6	16	4	1	44.3	4	1	7.5			1	"JAPAN"	"NW. HONSHU ISLAND"	38.65	139.2	5.8	168		2.7	2	26	1			450	3	80	4	1960	4			26	1			450	3	80	4	2250	4		
	1964	7	24	8	12	39	4	1	6.8			0	"RUSSIA"	"S. KURIL ISLANDS"	47.159	153.876	0.08	5		-3.3	-2																								
	1964	11	17	8	15	39.3	3	1	7.6			0	"PAPUA NEW GUINEA"	"NEW BRITAIN"	-5.7	150.7	0.05	1																							1				
	1964	12	10	15	11	7.6	4	1	6.3			0	"JAPAN"	"NW. HONSHU ISLAND"	40.4	138.9	0.1	4		-3.3	-3																								
	1965	1	24	0	11	12.1	4	1	7.6			0	"INDONESIA"	"SANANA ISLAND"	-2.4	126.1		4		2	2	71	2						4	3000	4			71	2						2	3000	4		
	1965	2	4	5	1	22	4	1	8.7			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.251	178.715	10.7	84		3.3	2.5							0.01	1											0.01	1				
	1965	3	9	17	57	53.7	3	1	6.3			0	"GREECE"	"AEGEAN SEA"	39.4	24		2																38	1			253	3	8	3		3		
	1965	3	30	2	27	3.4	4	1	7.6			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	50.32	177.93	0.1	3		-2.3	-1																								
	1965	6	11	3	34	2	4	1	7.2			0	"RUSSIA"	"S. KURIL ISLANDS"	44.7	148.7	0.1	6		-3.3	-3																								
	1965	7	2	20	58	38.1	4	1	6.5			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	53.03	-167.55	0.08	3		-3.3	-2																				1				
	1965	7	6	3	18	45.8	3	3	6.1			0	"GREECE"	"NORTH CORINTH GULF"	38.384	22.545	3	2		4.3	2	1	1						1					2	1			6	1		3	70	2	1000	3
	1965	8	11	22	31	45.9	4	1	7			0	"VANUATU"	"VANUATU ISLANDS"	-15.8	167.2	7	4		2.8	2.5																				2				2
	1965	8	13	12	40	32	3	1	7.4			0	"VANUATU"	"VANUATU ISLANDS"	-15.9	166.8	2	2		1	1								1		1										1		1		
	1965	8	23	19	46	2.9	4	1	7.8			0	"MEXICO"	"MEXICO"	16.3	-95.8	0.4	1		-1.3														6	1						1				1
	1965	9	28				4	6		762		1	"PHILIPPINES"	"TAAL, LUZON ISLAND"	14.002	120.993	4.7	1				355	3											355	3						1		1		
	1966	3	12	16	31	21.8	3	1	7.6			0	"TAIWAN"	"E. TAIWAN-RYUKYU ISLANDS"	24.1	122.6	0.1	5		-3.3	0													7	1			11	1		2		2		
	1966	5	8				4	8				0	"NORWAY"	"EASTERN NORWAY"	59.6	10.633	6	0			3								2												2				
	1966	6	15	0	59	42.7	3	1	7.1			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-10.343	160.883	0.2	3		0.5	1																								
	1966	7	12	18	53		4	1	5.5			0	"RUSSIA"	"BLACK SEA"	44.75	37	0.2	7			1																								
	1966	10	17	21	41	56	4	1	8.1			0	"PERU"	"CENTRAL PERU"	-10.748	-78.638	3	60		-1	1.5							2	2		3			110	3			3000	4	35	4		3		
	1966	12	28	8	18	7.4	4	1	7.8			0	"CHILE"	"NORTHERN CHILE"	-25.5	-70.7	0.42	13			0.5													3	1			6	1	0.4	1		3		
	1966	12	31	18	23	11.1	4	1	7.8			0	"SOLOMON ISLANDS"	"SANTA CRUZ ISLANDS"	-11.893	166.445	2	7			1																								
	1966	12	31	22	15	16.6	4	1	7.2			0	"SOLOMON ISLANDS"	"SANTA CRUZ ISLANDS"	-12.334	166.684	0.8	1			0																								
	1966						3	6		2234		0	"SOLOMON ISLANDS"	"TINAKULA, SANTA CRUZ ISLANDS"	-10.38	165.8		0																											
	1967	1	15	13	47	55	4	8				0	"ICELAND"	"ICELAND: CENTRAL-SOUTH"	63.67	-19.56	75	1																											
	1967	4	11	5	9	12.1	3	1	5.5			0	"INDONESIA"	"MAKASSAR STRAIT"	-3.7	119.3		2		1.6	1	13	1						1		1			71	2			100	2		2		2		
	1967	4	12	4	51	50.2	3	1	6.1			0	"INDONESIA"	"NORTHEAST SUMATRA"	5.5	97.3		1		1	1.5													14	1						3	2000	4		
	1967	7	30	0	0	4	4	1	6.6			0	"VENEZUELA"	"CARACAS"	10.559	-67.33	0.08	1																300	3			1536	3	140	4				
	1967	8	13	22	15	10	4	1	6.4			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.4	152.5	0.1	1		-3.3																									
	1967	12	21	2	25	23	3	1	7.5			0	"CHILE"	"NORTHERN CHILE"	-21.7	-69.5		1		-0.5	0													1	1				3		2		2		
	1968	1	29	10	19	7.2	4	1	7.3			0	"RUSSIA"	"S. KURIL ISLANDS"	43.586	146.701	0.18	17		-1.7	-1																								
	1968	2	19	22	45	45.7	4	1	7.2			0	"GREECE"	"LEMNOS ISLAND, NORTH AEGEAN SEA"	39.368	24.957	1.2	3		0.3	3													20	1			18	1	0.6	1	500	3	1951	4
	1968	4	1	0	42	4.2	4	1	7.5			0	"JAPAN"	"SEIKAIDO"	32.3	132.5	3.07	62		1.3	1								1	4	1			1	1			22	1		2		2		
	1968	4	18	19	38	15	3	1	4.6			0	"ITALY"	"LIGURIA-COTE D'AZUR"	44.08	8	3	1			2																								
	1968	5	4				3	0				0	"CHILE"	"EASTER ISLAND REGION"	-27.15	-109.45		1											1												1				
	1968	5	16	0	48	55.4	4	1	8.2			1	"JAPAN"	"OFF EAST COAST OF HONSHU ISLAND"	40.8	143.2	6	330		2.3	2	52	2				1		3	529	3			52	2			330	3	131	4	1218	4		
	1968	5	16	10	39	1.6	4	1	7.5			0	"JAPAN"	"OFF COAST OF HONSHU ISLAND"	41.5	142.7	0.58	10			-0.5																								
	1968	6	12	13	41	50.7	4	1	7.2			0	"JAPAN"	"SANRIKU"	39.4	143.1	0.95	28		1.6	0																								
	1968	8	1	20	19	21.9	4	1	7.3			0	"PHILIPPINES"	"E. LUZON ISLAND"	16.5	122.2	0.16	40		-1.7		1	1											270	3			261	3	8	3		1		3
	1968	8	2	14	6	43.7	3	1	7.3			0	"MEXICO"	"ACAPULCO"	16.519	-97.739		1																18	1					2.4	2				
	1968	8	10	2	7	4.3	4	1	7.6			0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	1.4	126.2	0.4	22		-1.3	1																				1				
	1968	8	14	22	14	19.4	4	1	7.8			0	"INDONESIA"	"BANDA SEA"	0.2	119.8	10	7		3.3	2.5	200	3			58	2		3	800	3			200	3			58	2		3	800	3		
	1968	9	3	8	19	52.2	4	1	6.6			0	"TURKEY"	"BLACK SEA"	41.8	32.3	3	2																24	1			200	3		3	2000	4		
	1969	2	23	0	36	58.9	4	1	7			0	"INDONESIA"	"MAKASSAR STRAIT"	-3.201	118.904	4	5		2	2	600	3						3		3			664	3			97	2		3	1287	4		
	1969	2	28	2	40	32.5	4	1	7.8			1	"PORTUGAL"	"PORTUGAL"	36.017	-10.95	0.9	19																25	1			80	2		2		3		4
	1969	3	31				3	1	7			0	"EGYPT"	"GULF OF SUEZ"	27.7	34		1																2	1			16	1		3	107	3		
	1969	4	21	7	19		4	1	6.5			0	"JAPAN"	"RYUKYU ISLANDS"	32.2	132.1	0.1	6		-2.3	-3																								
	1969	7	17	5			4	0				0	"ATLANTIC OCEAN"	"SOUTHWEST IBERIAN"	28.25	-16.26	0.06	4																											
	1969	7	18	5	24	50	4	1	7.4			0	"CHINA"	"BOHAI SEA"	38.2	119.4	0.1	3																10	1			353	3		4	15190	4	24810	4
	1969	8	2	4	30	29	4	3	5.4			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-6.6	146.9		1			-1																								
	1969	8	11	21	26	36	4	1	8.2			0	"RUSSIA"	"S. KURIL ISLANDS"	43.6	147.9	5	76		1.4	2																				1				
	1969	8	27	1	30		3	9				0	"SOUTH AFRICA"	"SOUTH AFRICA"			2.9	15											2												2				
	1969	11	22	23	9	37	4	1	7.7			8	"RUSSIA"	"KAMCHATKA"	57.7	163.6	15	17		3.9	3								1												1				
	1969	12	25	21	32	27.3	4	1	7.2			0	"GUADELOUPE (FRENCH TERRITORY)"	"GRAND BOURG"	15.8	-59.7	0.23	3		-3.3																									
	1970	1	10	12	7	8.6	4	1	7.6			0	"PHILIPPINES"	"PHILIPPINE TRENCH"	6.8	126.7	0.06	1																											
	1970	3	11	22	38	34.6	3	1	6			0	"USA"	"ANDREANOF ISLANDS, AK"	57.5	-153.9	0.03	2																							1				
	1970	4	7	5	34	5.6	3	1	7.3			0	"PHILIPPINES"	"PHILIPPINE SEA"	15.78	121.71		1		1	1								1					15	1			200	2		2				
	1970	5	14	18	12		3	1	6.5			0	"RUSSIA"	"CASPIAN SEA"	43	47.1		0																	3						2		2		
	1970	5	31	20	23	27.3	4	1	7.9			0	"PERU"	"N. PERU"	-9.2	-78.8	0.46	15		0.8														66794	4			50000	4	530	4		3		
	1970	7	25	22	41	10.7	4	1	7			0	"JAPAN"	"SEIKAIDO"	32.2	131.7	0.32	35		-0.7																		13	1		1				
	1970	9	30	9	52	22.7	3	1	5.3			0	"PHILIPPINES"	"PHILIPPINE TRENCH"	20.6	122		1			0.5																				2		3		
	1970	10	31	17	53	9.3	4	3	7.3			0	"PAPUA NEW GUINEA"	"PAPUA NEW GUINEA"	-4.907	145.471	3	3		0.3	0.5	3	1											18	1			20	1	1.75	2	800	3		
	1970	12	4	1	59	25	4	1	5.1			0	"RUSSIA"	"BLACK SEA"	43.84	39.34	0.8	1			2																								
	1971	5	2	6	8	27.8	4	1	7.1			0	"USA"	"ANDREANOF ISLANDS, AK"	51.228	-177.173	0.04	1			-3																								
	1971	7	9	3	3	18.7	4	1	7.8			0	"CHILE"	"CENTRAL CHILE"	-32.5	-71.2	0.6	1		0.3	0													83	2			447	3	236.4	4		3		
	1971	7	14	6	11	29.1	4	1	7.9			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-5.5	153.9	6	32		1.6	1	1	1						1					3	1			5	1		1				
	1971	7	26	1	23	21.3	4	1	7.9			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-4.9	153.2	10	39		3.3	1.5								2												2				
	1971	8	2	7	24	56.8	4	1	7.3			0	"JAPAN"	"JAPAN TRENCH"	41.4	143.5	0.51	17		-2.3	-0.5																				1				
	1971	9	5	18	35	25	4	1	7.1			0	"RUSSIA"	"TATAR STRAIT"	46.5	141.2	2	29			1																				1				1
	1971	9	6	13	37	10.8	4	1	5.5			0	"RUSSIA"	"TATAR STRAIT"	46.7	141.4	0.32	11																											
	1971	9	6	20			4	6		2235		1	"SOLOMON ISLANDS"	"TINAKULA, SANTA CRUZ ISLANDS"	-10.38	165.8		1																											
	1971	9	8	11	48	23.4	4	1	6.6			0	"RUSSIA"	"TATAR STRAIT"	46.4	141.1	0.09	2			-3																								
	1971	9	8	16	59	52.6	4	1	6.2			0	"RUSSIA"	"TATAR STRAIT"	46.3	140.9	0.07	1		-0.7	-3																								
	1971	9	27	19	1	45.3	4	1	6			0	"RUSSIA"	"TATAR STRAIT"	46.4	141.1	0.03	1			-4																								
	1971	12	15	8	29	55.3	4	1	7.8			3	"RUSSIA"	"KAMCHATKA"	56	163.3	0.47	12																											
	1972	1	25	2	6	23.3	4	1	7.5			0	"TAIWAN"	"E. TAIWAN"	22.5	122.3	0.05	2		-1	-2													1	1						1	5	1		
	1972	2	29	9	22	59.8	4	1	7.4			0	"JAPAN"	"EAST OFF HACHIJO ISLAND"	33.3	140.8	0.42	28		-1.3	0.5																								
	1972	7	30	21	45	14.1	4	3	7.6			0	"USA"	"SE. ALASKA, AK"	56.82	-135.685	0.1	3		-2.3	-2																				1				
	1972	8	17	23	44	5.9	4	1	7.1			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6	152.9	0.6	1		-1																									
	1972	8	26	8	15		3	8				0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6.7	147	1.5	2		0.6									1												1				
	1972	12	4	10	16	12	4	1	7.4			0	"JAPAN"	"CHICHI JIMA"	33.3	140.7	0.5	39		-1	-1																				1				
	1973	1	30	21	1	12.5	4	1	7.5			0	"MEXICO"	"S. MEXICO"	18.48	-103	1.13	9		0.1														56	2			390	3		2		2		
	1973	2	28	6	37	49.5	4	1	7.2			0	"RUSSIA"	"N. KURIL ISLANDS"	50.5	156.6	1.5	7		0.6	0.5																								
	1973	3	17	8	30	51.8	4	1	7.5			0	"PHILIPPINES"	"QUEZON"	13.4	122.8	1.3	2																15	1			64	2	0.45	1				
	1973	6	17	3	55	2.9	4	1	7.7			0	"JAPAN"	"HOKKAIDO ISLAND"	43.2	145.8	5.96	72		2.2	1						1	5	2	2	1							27	1	5	2	2	1		
	1973	6	24	2	43	25.5	4	1	7.1			0	"RUSSIA"	"S. KURIL ISLANDS"	43.3	146.4	0.64	32		2.2																		1	1		1				
	1973	6	26	22	32	0.2	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	146.6	0.21	2																											
	1973	10	5	5	47	51.1	4	1	6.7			0	"CHILE"	"CENTRAL CHILE"	-32.5	-71.5	0.2	1		-1.3	-1																								
	1974	1	31	23	30	5.3	4	1	7			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-7.5	155.9	1.5	2		2.2	1																								
	1974	2	1	3	12	33.1	4	1	7.1			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-7.4	155.6	4.5	4		2.2	2								2												2				
	1974	5	8	23	33	25.2	4	1	6.7			0	"JAPAN"	"TOKAIDO"	34.6	138.7	0.2	5		-2.3	-2.5													30	1			137	3		2	134	3		
	1974	9	27	5	47	29.4	4	1	6.7			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	146.7	0.37	3		0.6	-1																								
	1974	10	3	14	21	29.1	4	1	8.1			0	"PERU"	"CENTRAL PERU"	-12.27	-77.79	0.92	36		0.8	1													78	2			2414	4	10	3		3		
	1974	10	17	19	5		4	8				0	"CANADA"	"KITIMAT INLET, BRITISH COLOMBIA"	54	-128.7	2.8	0																											
	1974	10	17				4	6		4683		1	"PAPUA NEW GUINEA"	"RITTER ISLAND, PAPUA NEW GUINEA"	-5.52	148.121	0.5	2		-1																									
	1975	3	5	0	22	19	3	1	6.6			0	"INDONESIA"	"SANANA ISLAND"	-2.444	126.145	1.2	1		1																					1				
	1975	4	27	18	5		4	8				0	"CANADA"	"KITIMAT INLET, BRITISH COLUMBIA"	53.98	-128.68	4.1	5											2												2				
	1975	5	26	9	11	51.1	4	1	7.8			0	"ATLANTIC OCEAN"	"AZORES GIBRALTAR FRACTURE ZONE"	35.962	-17.576	0.5	8																							1				
	1975	6	10	13	47	14.5	4	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	43.024	147.734	5.5	52		2.3	2								2												2				
	1975	7	20	14	37	39.9	4	1	7.9			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-6.59	155.054	2	18		1	1								2		1										3		2		
	1975	10	31	8	28	2.6	4	1	7.6			0	"PHILIPPINES"	"PHILIPPINE TRENCH"	12.54	125.993	3	28		-0.7	-1.5	1	1						1	30	1			1	1						1	30	1		
