"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1923 <= Year >= 2024"",""Oceanic Tsunami = true"",""Probable Tsunami <= Validity >= Definite Tsunami""]"																																													
	1929	5	21	16	35		4	1	7.1			0	"JAPAN"	"HYUGANADA SEA"	31.7	132.2	0.7	1		-0.5																									
	1929	5	26	22	39	54	3	1	7			0	"CANADA"	"BRITISH COLUMBIA"	51	-131	1.5	3		0.6	0																				1				
	1929	6	13	9	24	34	3	1	7.2			0	"PHILIPPINES"	"E. MINDANAO ISLAND"	8.5	127	2	4			0.5																				2		3		
	1929	11	18	20	31	59.7	4	3	7.2			10	"CANADA"	"GRAND BANKS, NEWFOUNDLAND"	44.426	-56.03	13	46		2.2		28	1					1	2					28	1					1	2				
	1930	3	4	18	3		4	8				0	"PORTUGAL"	"MADEIRA ISLAND"	32.617	-16.967	5	2				19	1	2	1	6	1		1					19	1	2	1	6	1		1				
	1930	5	2				4	8				0	"NORWAY"	"MID-NORWAY"	63.317	9.85		0			3								1												2				
	1930	5	5	13	45	58	4	1	7.3			0	"MYANMAR (BURMA)"	"MYANMAR COAST"	17.3	96.5	1.06	1											3		3			500	3						3		3		3
	1930	6	19	13	7	27	3	1	6			0	"INDONESIA"	"SOUTH OF JAVA"	-5.6	105.3	1.5	1		-0.5																									
	1930	8	31	0	40	38	3	3	5.2			0	"USA"	"S. CALIFORNIA"	34.03	-118.643	3.05	3		-1	-0.5	1	1											1	1						1				
	1930	9	11	9	52		4	6		26		1	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213	2.5	2			3	1	1											6	1			20	1		2				
	1930	9	30	21	20	54.1	3	1	6.6			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.423	145.46		1																											
	1930	10	30	7	13	10.1	4	1	6			0	"ITALY"	"CENTRAL ADRIATIC"	43.89	13.483		1			4								1					18	1						3		3		
	1930	11	5				3	1				0	"KENYA"	"MOMBASA"	-4.05	39.667	6	1																											
	1930	12	23	21	35	36	4	1	6.5			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-1.3	144.3	12	29		3.4	1.5	27	1			8	1		2	104	3			27	1			8	1		2	104	3		
	1931	2	2	22	46	51.3	4	3	7.7			2	"NEW ZEALAND"	"N. NEW ZEALAND"	-39.772	176.025	15	5			0								1					261	3			400	3	25	4				
	1931	3	9	3	49	0	4	1	7.6			0	"JAPAN"	"SANRIKU"	41.2	142.5	0.4	7		-1.3	-1																								
	1931	9	25	5	59	44	3	1	7.4			0	"INDONESIA"	"SW. SUMATRA"	-5	102.75	1	1		4.9																					1				
	1931	10	3	19	13	20.8	4	1	7.8			0	"SOLOMON ISLANDS"	"SAN CRISTOBAL ISLAND"	-10.932	161.016	9	13		3.3	2.5	50	1						3		3			50	1						3		3		
	1931	11	2	10	2		4	1	7.1			0	"JAPAN"	"SEIKAIDO"	32.2	132.1	0.8	9		-0.3														1	1							14	1		
	1932	6	3	10	36	58.9	4	1	8.1			1	"MEXICO"	"CENTRAL MEXICO"	19.623	-103.919	10	19		1.5	2	4	1						2		2			400	3			120	3		3		3		
	1932	6	18	10	12	33.3	4	1	7.8			0	"MEXICO"	"CENTRAL MEXICO"	19.081	-103.631	1	2		1	0.5																				2				
	1932	6	22	12	59	30.6	4	1	7.7			1	"MEXICO"	"CENTRAL MEXICO"	19.242	-104.383	10	10		3.3	1.5	75	2			100	2		3		2			75	2			100	2		3	400	3		
	1932	9	26	19	20	42	4	1	6.9			0	"GREECE"	"NORTH AEGEAN"	40.5	23.9	2	2			3								1					161	3			669	3		4	4106	4	3218	4
	1933	1	8	16			4	4	6	2822		1	"RUSSIA"	"KHARIMKOTAN, N. KURIL ISLANDS"	49.12	154.508	9	2		3.2	2	2	1											2	1										
	1933	2	20	17	0		3	1	4			0	"MEXICO"	"MEXICO"	18.68	-104.82	1.13	2											1		1										1		1		
	1933	3	2	17	31	0	4	1	8.4			2	"JAPAN"	"SANRIKU"	39.209	144.59	29	294		4.9	3.5	3022	4						4	6000	4			3022	4						4	6000	4		
	1933	5	8	10	33	51.2	3	1	6.7			0	"MEXICO"	"MEXICO"	17.404	-100.908		1											1												1				
	1933	5	19				3	1				0	"TOGO"	"GOLD COAST"	6.9	0.6		1																											
	1933	6	18	21	37	0	4	1	7.1			0	"JAPAN"	"SANRIKU"	38.1	142.4	0.2	8		-2.3																									
	1933	10	2	15	29	21	3	1	6.9			0	"ECUADOR"	"ECUADOR"	-2	-81		1		0.6	1.5																								
	1933	11	19	3	11	25	3	1	6.4			0	"VANUATU"	"VANUATU ISLANDS"	-16.895	167.776		0																							1				
	1934	2	14	3	59	34	4	1	7.9			0	"PHILIPPINES"	"SOUTH CHINA SEA"	17.5	119		1			0.5																				1				
	1934	4	7	3			3	8				1	"NORWAY"	"TAFJORD"	62.267	7.4	62.3	12				41	1						2					41	1						2				
	1934	7	18	1	36	24	3	1	7.7			0	"PANAMA"	"COSTA RICA-PANAMA"	8	-82.5		2		1	1.5								1		2							4	1	0.05	1		2		
	1934	7	18	19	40	24	3	1	7.8			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-11.907	166.731	0.65	3		-0.7																									
	1934	7	21	6	18	23.3	3	1	7.2			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-11.139	165.503		3																											
	1935	1	4	14	41	30.8	3	3	6.4			0	"TURKEY"	"MARMARA SEA"	40.62	27.451		0			2													5	1			30	1		3		4		
	1935	7	19	0	50	0	4	1	6.5			0	"JAPAN"	"JAPAN"	36.6	141.4	0.2	1		-2.3																									
	1935	9	20	1	46	43.5	3	1	7.8			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-3.824	141.416		1																											
	1935	10	12	16	45	0	4	1	7.2			0	"JAPAN"	"SANRIKU"	39.9	143.7	0.3	8		-1.7	-1																								
	1935	10	18	0	11	0	4	1	7			0	"JAPAN"	"SANRIKU"	40.7	144.3	0.2	2		-2.3	-2																								
	1936	4	1	2	9	15	4	1	7.7			0	"INDONESIA"	"SULAWESI"	4.5	126.5	3	2		1.5	2																	3	1		2	169	3		
	1936	7	13	11	12	15	4	1	7.3			0	"CHILE"	"NORTHERN CHILE"	-24.5	-70	1	3			0.5													1	1			40	1		2		3		
	1936	9	13				4	8				0	"NORWAY"	"LOEN"	61.87	6.851	74	5				73	2						1					73	2						1				
	1936	10	27	15	50	0	4	8				0	"USA"	"LITUYA BAY, AK"	58.6	-137.1	149.35	1		5.6	4								1	2	1														
	1936	11	2	20	46	0	4	1	7.7			0	"JAPAN"	"SANRIKU"	38.2	142.2	0.7	11		-0.5																									
	1936						3	0				0	"NEW CALEDONIA"	"NEW CALEDONIA"	-20.5	165	2.2	2											1												1				
